Episodio,Passos,RecompensaTotal,Sucesso,Epsilon
859,24,100.45,1,0.0235
860,25,100.45,1,0.0234
861,26,100.45,1,0.0234
862,31,100.45,1,0.0233
863,39,100.45,1,0.0232
864,24,100.45,1,0.0232
865,30,100.45,1,0.0231
866,29,100.45,1,0.0230
867,25,100.45,1,0.0230
868,31,100.45,1,0.0229
869,29,100.45,1,0.0228
870,27,100.45,1,0.0228
871,27,100.45,1,0.0227
872,25,100.45,1,0.0227
873,36,100.45,1,0.0226
874,26,100.45,1,0.0225
875,25,100.45,1,0.0225
876,29,100.45,1,0.0224
877,24,100.45,1,0.0223
878,37,100.45,1,0.0223
879,30,100.45,1,0.0222
880,30,100.45,1,0.0222
881,47,100.45,1,0.0221
882,27,100.25,1,0.0220
883,24,100.45,1,0.0220
884,28,100.45,1,0.0219
885,31,100.45,1,0.0219
886,24,100.45,1,0.0218
887,44,100.45,1,0.0217
888,35,100.45,1,0.0217
889,28,100.25,1,0.0216
890,25,100.45,1,0.0216
891,24,100.45,1,0.0215
892,36,100.45,1,0.0214
893,28,100.45,1,0.0214
894,32,100.45,1,0.0213
895,25,100.45,1,0.0213
896,28,100.45,1,0.0212
897,24,100.45,1,0.0212
898,29,100.45,1,0.0211
899,27,100.45,1,0.0211
900,30,100.45,1,0.0210
901,36,100.45,1,0.0209
902,34,100.45,1,0.0209
903,26,100.45,1,0.0208
904,34,100.45,1,0.0208
905,34,100.45,1,0.0207
906,24,100.45,1,0.0207
907,40,100.45,1,0.0206
908,27,100.25,1,0.0206
909,24,100.45,1,0.0205
910,27,100.25,1,0.0205
911,28,100.45,1,0.0204
912,25,100.45,1,0.0204
913,24,100.45,1,0.0203
914,30,100.45,1,0.0203
915,25,100.45,1,0.0202
916,27,100.45,1,0.0202
917,38,100.45,1,0.0201
918,38,100.45,1,0.0201
919,24,100.45,1,0.0200
920,28,100.45,1,0.0200
921,26,100.45,1,0.0199
922,27,100.45,1,0.0199
923,29,100.45,1,0.0198
924,28,100.25,1,0.0198
925,51,100.45,1,0.0197
926,30,100.45,1,0.0197
927,24,100.45,1,0.0196
928,26,100.45,1,0.0196
929,29,100.45,1,0.0195
930,24,100.45,1,0.0195
